dateStr,reading,type,abbr,bookCode,chapter,vStart,vEnd
1月20日,馬太福音 14:17-30,新約,太 14:17-30,MAT,14,17,30
1月20日,詩篇 8:25-30,詩篇,詩 8:25-30,PSA,8,25,30
1月20日,箴言 2:28-30,箴言,箴 2:28-30,PRO,2,28,30
1月21日,創世記 40,舊約,創 40,GEN,40,1,
1月21日,創世記 41,舊約,創 41,GEN,41,1,
1月21日,馬太福音 15:8-28,新約,太 15:8-28,MAT,15,8,28
1月21日,詩篇 9:7-18,詩篇,詩 9:7-18,PSA,9,7,18
1月21日,箴言 3:1-3,箴言,箴 3:1-3,PRO,3,1,3
1月22日,創世記 42,舊約,創 42,GEN,42,1,
1月22日,創世記 43,舊約,創 43,GEN,43,1,
1月22日,馬太福音 15:29-30,新約,太 15:29-30,MAT,15,29,30
1月22日,詩篇 9:19-30,詩篇,詩 9:19-30,PSA,9,19,30
1月22日,箴言 3:4-6,箴言,箴 3:4-6,PRO,3,4,6
1月23日,創世記 44,舊約,創 44,GEN,44,1,
1月23日,創世記 45,舊約,創 45,GEN,45,1,
1月23日,馬太福音 16:21-30,新約,太 16:21-30,MAT,16,21,30
1月23日,詩篇 10:2-13,詩篇,詩 10:2-13,PSA,10,2,13
1月23日,箴言 3:7-9,箴言,箴 3:7-9,PRO,3,7,9
1月24日,創世記 46,舊約,創 46,GEN,46,1,
1月24日,創世記 47,舊約,創 47,GEN,47,1,
1月24日,馬太福音 17:12-30,新約,太 17:12-30,MAT,17,12,30
1月24日,詩篇 10:14-25,詩篇,詩 10:14-25,PSA,10,14,25
1月24日,箴言 3:10-12,箴言,箴 3:10-12,PRO,3,10,12
1月25日,創世記 48,舊約,創 48,GEN,48,1,
1月25日,創世記 49,舊約,創 49,GEN,49,1,
1月25日,馬太福音 18:3-24,新約,太 18:3-24,MAT,18,3,24
1月25日,詩篇 10:26-30,詩篇,詩 10:26-30,PSA,10,26,30
1月25日,箴言 3:13-15,箴言,箴 3:13-15,PRO,3,13,15
1月26日,創世記 50,舊約,創 50,GEN,50,1,
1月26日,出埃及記 1,舊約,出 1,EXO,1,1,
1月26日,馬太福音 18:25-30,新約,太 18:25-30,MAT,18,25,30
1月26日,詩篇 11:9-20,詩篇,詩 11:9-20,PSA,11,9,20
1月26日,箴言 3:16-18,箴言,箴 3:16-18,PRO,3,16,18
1月27日,出埃及記 2,舊約,出 2,EXO,2,1,
1月27日,出埃及記 3,舊約,出 3,EXO,3,1,
1月27日,馬太福音 19:16-30,新約,太 19:16-30,MAT,19,16,30
1月27日,詩篇 11:21-30,詩篇,詩 11:21-30,PSA,11,21,30
1月27日,箴言 3:19-21,箴言,箴 3:19-21,PRO,3,19,21
1月28日,出埃及記 4,舊約,出 4,EXO,4,1,
1月28日,出埃及記 5,舊約,出 5,EXO,5,1,
1月28日,馬太福音 20:7-28,新約,太 20:7-28,MAT,20,7,28
1月28日,詩篇 12:3-15,詩篇,詩 12:3-15,PSA,12,3,15
1月28日,箴言 3:22-24,箴言,箴 3:22-24,PRO,3,22,24
1月29日,出埃及記 6,舊約,出 6,EXO,6,1,
1月29日,出埃及記 7,舊約,出 7,EXO,7,1,
1月29日,馬太福音 20:29-30,新約,太 20:29-30,MAT,20,29,30
1月29日,詩篇 12:16-27,詩篇,詩 12:16-27,PSA,12,16,27
1月29日,箴言 3:25-27,箴言,箴 3:25-27,PRO,3,25,27
1月30日,出埃及記 8,舊約,出 8,EXO,8,1,
1月30日,出埃及記 9,舊約,出 9,EXO,9,1,
1月30日,馬太福音 21:20-30,新約,太 21:20-30,MAT,21,20,30
1月30日,詩篇 12:28-30,詩篇,詩 12:28-30,PSA,12,28,30
1月30日,箴言 3:28-30,箴言,箴 3:28-30,PRO,3,28,30
1月31日,出埃及記 10,舊約,出 10,EXO,10,1,
1月31日,出埃及記 11,舊約,出 11,EXO,11,1,
1月31日,馬太福音 22:12-30,新約,太 22:12-30,MAT,22,12,30
1月31日,詩篇 13:10-22,詩篇,詩 13:10-22,PSA,13,10,22
1月31日,箴言 4:1-3,箴言,箴 4:1-3,PRO,4,1,3
2月1日,出埃及記 12,舊約,出 12,EXO,12,1,
2月1日,出埃及記 13,舊約,出 13,EXO,13,1,
2月1日,馬太福音 23:3-23,新約,太 23:3-23,MAT,23,3,23
2月1日,詩篇 13:23-30,詩篇,詩 13:23-30,PSA,13,23,30
2月1日,箴言 4:4-6,箴言,箴 4:4-6,PRO,4,4,6
2月2日,出埃及記 14,舊約,出 14,EXO,14,1,
2月2日,出埃及記 15,舊約,出 15,EXO,15,1,
2月2日,馬太福音 23:24-30,新約,太 23:24-30,MAT,23,24,30
2月2日,詩篇 14:5-16,詩篇,詩 14:5-16,PSA,14,5,16
2月2日,箴言 4:7-9,箴言,箴 4:7-9,PRO,4,7,9
2月3日,出埃及記 16,舊約,出 16,EXO,16,1,
2月3日,出埃及記 17,舊約,出 17,EXO,17,1,
2月3日,馬太福音 24:16-30,新約,太 24:16-30,MAT,24,16,30
2月3日,詩篇 14:17-29,詩篇,詩 14:17-29,PSA,14,17,29
2月3日,箴言 4:10-12,箴言,箴 4:10-12,PRO,4,10,12
2月4日,出埃及記 18,舊約,出 18,EXO,18,1,
2月4日,出埃及記 19,舊約,出 19,EXO,19,1,
2月4日,馬太福音 25:7-27,新約,太 25:7-27,MAT,25,7,27
2月4日,詩篇 14:30-30,詩篇,詩 14:30-30,PSA,14,30,30
2月4日,箴言 4:13-15,箴言,箴 4:13-15,PRO,4,13,15
2月5日,出埃及記 20,舊約,出 20,EXO,20,1,
2月5日,出埃及記 21,舊約,出 21,EXO,21,1,
2月5日,馬太福音 25:28-30,新約,太 25:28-30,MAT,25,28,30
2月5日,詩篇 15:12-23,詩篇,詩 15:12-23,PSA,15,12,23
2月5日,箴言 4:16-18,箴言,箴 4:16-18,PRO,4,16,18
2月6日,出埃及記 22,舊約,出 22,EXO,22,1,
2月6日,出埃及記 23,舊約,出 23,EXO,23,1,
2月6日,馬太福音 26:20-30,新約,太 26:20-30,MAT,26,20,30
2月6日,詩篇 15:24-30,詩篇,詩 15:24-30,PSA,15,24,30
2月6日,箴言 4:19-21,箴言,箴 4:19-21,PRO,4,19,21
2月7日,出埃及記 24,舊約,出 24,EXO,24,1,
2月7日,出埃及記 25,舊約,出 25,EXO,25,1,
2月7日,馬太福音 27:11-30,新約,太 27:11-30,MAT,27,11,30
2月7日,詩篇 16:7-18,詩篇,詩 16:7-18,PSA,16,7,18
2月7日,箴言 4:22-24,箴言,箴 4:22-24,PRO,4,22,24
2月8日,出埃及記 26,舊約,出 26,EXO,26,1,
2月8日,出埃及記 27,舊約,出 27,EXO,27,1,
2月8日,馬太福音 28:3-23,新約,太 28:3-23,MAT,28,3,23
2月8日,詩篇 16:19-30,詩篇,詩 16:19-30,PSA,16,19,30
2月8日,箴言 4:25-27,箴言,箴 4:25-27,PRO,4,25,27
2月9日,出埃及記 28,舊約,出 28,EXO,28,1,
2月9日,出埃及記 29,舊約,出 29,EXO,29,1,
2月9日,馬太福音 28:24-30,新約,太 28:24-30,MAT,28,24,30
2月9日,詩篇 17:1-13,詩篇,詩 17:1-13,PSA,17,1,13
2月9日,箴言 4:28-30,箴言,箴 4:28-30,PRO,4,28,30
2月10日,出埃及記 30,舊約,出 30,EXO,30,1,
2月10日,出埃及記 31,舊約,出 31,EXO,31,1,
2月10日,馬可福音 1:15-30,新約,可 1:15-30,MRK,1,15,30
2月10日,詩篇 17:14-25,詩篇,詩 17:14-25,PSA,17,14,25
2月10日,箴言 5:1-3,箴言,箴 5:1-3,PRO,5,1,3
2月11日,出埃及記 32,舊約,出 32,EXO,32,1,
2月11日,出埃及記 33,舊約,出 33,EXO,33,1,
2月11日,馬可福音 2:7-27,新約,可 2:7-27,MRK,2,7,27
2月11日,詩篇 17:26-30,詩篇,詩 17:26-30,PSA,17,26,30
2月11日,箴言 5:4-6,箴言,箴 5:4-6,PRO,5,4,6
2月12日,出埃及記 34,舊約,出 34,EXO,34,1,
2月12日,出埃及記 35,舊約,出 35,EXO,35,1,
2月12日,馬可福音 2:28-30,新約,可 2:28-30,MRK,2,28,30
2月12日,詩篇 18:8-20,詩篇,詩 18:8-20,PSA,18,8,20
2月12日,箴言 5:7-9,箴言,箴 5:7-9,PRO,5,7,9
2月13日,出埃及記 36,舊約,出 36,EXO,36,1,
2月13日,出埃及記 37,舊約,出 37,EXO,37,1,
2月13日,馬可福音 3:19-30,新約,可 3:19-30,MRK,3,19,30
2月13日,詩篇 18:21-30,詩篇,詩 18:21-30,PSA,18,21,30
2月13日,箴言 5:10-12,箴言,箴 5:10-12,PRO,5,10,12
2月14日,出埃及記 38,舊約,出 38,EXO,38,1,
2月14日,出埃及記 39,舊約,出 39,EXO,39,1,
2月14日,馬可福音 4:11-30,新約,可 4:11-30,MRK,4,11,30
2月14日,詩篇 19:3-14,詩篇,詩 19:3-14,PSA,19,3,14
2月14日,箴言 5:13-15,箴言,箴 5:13-15,PRO,5,13,15
2月15日,出埃及記 40,舊約,出 40,EXO,40,1,
2月15日,利未記 1,舊約,利 1,LEV,1,1,
2月15日,馬可福音 5:2-23,新約,可 5:2-23,MRK,5,2,23
2月15日,詩篇 19:15-27,詩篇,詩 19:15-27,PSA,19,15,27
2月15日,箴言 5:16-18,箴言,箴 5:16-18,PRO,5,16,18
2月16日,利未記 2,舊約,利 2,LEV,2,1,
2月16日,利未記 3,舊約,利 3,LEV,3,1,
2月16日,馬可福音 5:24-30,新約,可 5:24-30,MRK,5,24,30
2月16日,詩篇 19:28-30,詩篇,詩 19:28-30,PSA,19,28,30
2月16日,箴言 5:19-21,箴言,箴 5:19-21,PRO,5,19,21
2月17日,利未記 4,舊約,利 4,LEV,4,1,
2月17日,利未記 5,舊約,利 5,LEV,5,1,
2月17日,馬可福音 6:15-30,新約,可 6:15-30,MRK,6,15,30
2月17日,詩篇 20:10-21,詩篇,詩 20:10-21,PSA,20,10,21
2月17日,箴言 5:22-24,箴言,箴 5:22-24,PRO,5,22,24
2月18日,利未記 6,舊約,利 6,LEV,6,1,
2月18日,利未記 7,舊約,利 7,LEV,7,1,
2月18日,馬可福音 7:6-27,新約,可 7:6-27,MRK,7,6,27
2月18日,詩篇 20:22-30,詩篇,詩 20:22-30,PSA,20,22,30
2月18日,箴言 5:25-27,箴言,箴 5:25-27,PRO,5,25,27
2月19日,利未記 8,舊約,利 8,LEV,8,1,
2月19日,利未記 9,舊約,利 9,LEV,9,1,
2月19日,馬可福音 7:28-30,新約,可 7:28-30,MRK,7,28,30
2月19日,詩篇 21:5-16,詩篇,詩 21:5-16,PSA,21,5,16
2月19日,箴言 5:28-30,箴言,箴 5:28-30,PRO,5,28,30
2月20日,利未記 10,舊約,利 10,LEV,10,1,
2月20日,利未記 11,舊約,利 11,LEV,11,1,
2月20日,馬可福音 8:19-30,新約,可 8:19-30,MRK,8,19,30
2月20日,詩篇 21:17-28,詩篇,詩 21:17-28,PSA,21,17,28
2月20日,箴言 6:1-3,箴言,箴 6:1-3,PRO,6,1,3
2月21日,利未記 12,舊約,利 12,LEV,12,1,
2月21日,利未記 13,舊約,利 13,LEV,13,1,
2月21日,馬可福音 9:10-30,新約,可 9:10-30,MRK,9,10,30
2月21日,詩篇 21:29-30,詩篇,詩 21:29-30,PSA,21,29,30
2月21日,箴言 6:4-6,箴言,箴 6:4-6,PRO,6,4,6
2月22日,利未記 14,舊約,利 14,LEV,14,1,
2月22日,利未記 15,舊約,利 15,LEV,15,1,
2月22日,馬可福音 10:2-22,新約,可 10:2-22,MRK,10,2,22
2月22日,詩篇 22:12-23,詩篇,詩 22:12-23,PSA,22,12,23
2月22日,箴言 6:7-9,箴言,箴 6:7-9,PRO,6,7,9
2月23日,利未記 16,舊約,利 16,LEV,16,1,
2月23日,利未記 17,舊約,利 17,LEV,17,1,
2月23日,馬可福音 10:23-30,新約,可 10:23-30,MRK,10,23,30
2月23日,詩篇 22:24-30,詩篇,詩 22:24-30,PSA,22,24,30
2月23日,箴言 6:10-12,箴言,箴 6:10-12,PRO,6,10,12
2月24日,利未記 18,舊約,利 18,LEV,18,1,
2月24日,利未記 19,舊約,利 19,LEV,19,1,
2月24日,馬可福音 11:14-30,新約,可 11:14-30,MRK,11,14,30
2月24日,詩篇 23:6-18,詩篇,詩 23:6-18,PSA,23,6,18
2月24日,箴言 6:13-15,箴言,箴 6:13-15,PRO,6,13,15
2月25日,利未記 20,舊約,利 20,LEV,20,1,
2月25日,利未記 21,舊約,利 21,LEV,21,1,
2月25日,馬可福音 12:6-26,新約,可 12:6-26,MRK,12,6,26
2月25日,詩篇 23:19-30,詩篇,詩 23:19-30,PSA,23,19,30
2月25日,箴言 6:16-18,箴言,箴 6:16-18,PRO,6,16,18
2月26日,利未記 22,舊約,利 22,LEV,22,1,
2月26日,利未記 23,舊約,利 23,LEV,23,1,
2月26日,馬可福音 12:27-30,新約,可 12:27-30,MRK,12,27,30
2月26日,詩篇 24:1-12,詩篇,詩 24:1-12,PSA,24,1,12
2月26日,箴言 6:19-21,箴言,箴 6:19-21,PRO,6,19,21
2月27日,利未記 24,舊約,利 24,LEV,24,1,
2月27日,利未記 25,舊約,利 25,LEV,25,1,
2月27日,馬可福音 13:19-30,新約,可 13:19-30,MRK,13,19,30
2月27日,詩篇 24:13-25,詩篇,詩 24:13-25,PSA,24,13,25
2月27日,箴言 6:22-24,箴言,箴 6:22-24,PRO,6,22,24
2月28日,利未記 26,舊約,利 26,LEV,26,1,
2月28日,利未記 27,舊約,利 27,LEV,27,1,
2月28日,馬可福音 14:10-30,新約,可 14:10-30,MRK,14,10,30
2月28日,詩篇 24:26-30,詩篇,詩 24:26-30,PSA,24,26,30
2月28日,箴言 6:25-27,箴言,箴 6:25-27,PRO,6,25,27
3月1日,民數記 1,舊約,民 1,NUM,1,1,
3月1日,民數記 2,舊約,民 2,NUM,2,1,
3月1日,馬可福音 15:1-22,新約,可 15:1-22,MRK,15,1,22
3月1日,詩篇 25:8-19,詩篇,詩 25:8-19,PSA,25,8,19
3月1日,箴言 6:28-30,箴言,箴 6:28-30,PRO,6,28,30
3月2日,民數記 3,舊約,民 3,NUM,3,1,
3月2日,民數記 4,舊約,民 4,NUM,4,1,
3月2日,馬可福音 15:23-30,新約,可 15:23-30,MRK,15,23,30
3月2日,詩篇 25:20-30,詩篇,詩 25:20-30,PSA,25,20,30
3月2日,箴言 7:1-3,箴言,箴 7:1-3,PRO,7,1,3
3月3日,民數記 5,舊約,民 5,NUM,5,1,
3月3日,民數記 6,舊約,民 6,NUM,6,1,
3月3日,馬可福音 16:14-30,新約,可 16:14-30,MRK,16,14,30
3月3日,詩篇 26:3-14,詩篇,詩 26:3-14,PSA,26,3,14
3月3日,箴言 7:4-6,箴言,箴 7:4-6,PRO,7,4,6
3月4日,民數記 7,舊約,民 7,NUM,7,1,
3月4日,民數記 8,舊約,民 8,NUM,8,1,
3月4日,路加福音 1:5-26,新約,路 1:5-26,LUK,1,5,26
3月4日,詩篇 26:15-26,詩篇,詩 26:15-26,PSA,26,15,26
3月4日,箴言 7:7-9,箴言,箴 7:7-9,PRO,7,7,9
3月5日,民數記 9,舊約,民 9,NUM,9,1,
3月5日,民數記 10,舊約,民 10,NUM,10,1,
3月5日,路加福音 1:27-30,新約,路 1:27-30,LUK,1,27,30
3月5日,詩篇 26:27-30,詩篇,詩 26:27-30,PSA,26,27,30
3月5日,箴言 7:10-12,箴言,箴 7:10-12,PRO,7,10,12
3月6日,民數記 11,舊約,民 11,NUM,11,1,
3月6日,民數記 12,舊約,民 12,NUM,12,1,
3月6日,路加福音 2:18-30,新約,路 2:18-30,LUK,2,18,30
3月6日,詩篇 27:10-21,詩篇,詩 27:10-21,PSA,27,10,21
3月6日,箴言 7:13-15,箴言,箴 7:13-15,PRO,7,13,15
3月7日,民數記 13,舊約,民 13,NUM,13,1,
3月7日,民數記 14,舊約,民 14,NUM,14,1,
3月7日,路加福音 3:10-30,新約,路 3:10-30,LUK,3,10,30
3月7日,詩篇 27:22-30,詩篇,詩 27:22-30,PSA,27,22,30
3月7日,箴言 7:16-18,箴言,箴 7:16-18,PRO,7,16,18
3月8日,民數記 15,舊約,民 15,NUM,15,1,
3月8日,民數記 16,舊約,民 16,NUM,16,1,
3月8日,路加福音 4:1-21,新約,路 4:1-21,LUK,4,1,21
3月8日,詩篇 28:4-16,詩篇,詩 28:4-16,PSA,28,4,16
3月8日,箴言 7:19-21,箴言,箴 7:19-21,PRO,7,19,21
3月9日,民數記 17,舊約,民 17,NUM,17,1,
3月9日,民數記 18,舊約,民 18,NUM,18,1,
3月9日,路加福音 4:22-30,新約,路 4:22-30,LUK,4,22,30
3月9日,詩篇 28:17-28,詩篇,詩 28:17-28,PSA,28,17,28
3月9日,箴言 7:22-24,箴言,箴 7:22-24,PRO,7,22,24
3月10日,民數記 19,舊約,民 19,NUM,19,1,
3月10日,民數記 20,舊約,民 20,NUM,20,1,
3月10日,路加福音 5:14-30,新約,路 5:14-30,LUK,5,14,30
3月10日,詩篇 28:29-30,詩篇,詩 28:29-30,PSA,28,29,30
3月10日,箴言 7:25-27,箴言,箴 7:25-27,PRO,7,25,27
3月11日,民數記 21,舊約,民 21,NUM,21,1,
3月11日,民數記 22,舊約,民 22,NUM,22,1,
3月11日,路加福音 6:5-25,新約,路 6:5-25,LUK,6,5,25
3月11日,詩篇 29:11-23,詩篇,詩 29:11-23,PSA,29,11,23
3月11日,箴言 7:28-30,箴言,箴 7:28-30,PRO,7,28,30
3月12日,民數記 23,舊約,民 23,NUM,23,1,
3月12日,民數記 24,舊約,民 24,NUM,24,1,
3月12日,路加福音 6:26-30,新約,路 6:26-30,LUK,6,26,30
3月12日,詩篇 29:24-30,詩篇,詩 29:24-30,PSA,29,24,30
3月12日,箴言 8:1-3,箴言,箴 8:1-3,PRO,8,1,3
3月13日,民數記 25,舊約,民 25,NUM,25,1,
3月13日,民數記 26,舊約,民 26,NUM,26,1,
3月13日,路加福音 7:18-30,新約,路 7:18-30,LUK,7,18,30
3月13日,詩篇 30:6-17,詩篇,詩 30:6-17,PSA,30,6,17
3月13日,箴言 8:4-6,箴言,箴 8:4-6,PRO,8,4,6
3月14日,民數記 27,舊約,民 27,NUM,27,1,
3月14日,民數記 28,舊約,民 28,NUM,28,1,
3月14日,路加福音 8:9-30,新約,路 8:9-30,LUK,8,9,30
3月14日,詩篇 30:18-30,詩篇,詩 30:18-30,PSA,30,18,30
3月14日,箴言 8:7-9,箴言,箴 8:7-9,PRO,8,7,9
3月15日,民數記 29,舊約,民 29,NUM,29,1,
3月15日,民數記 30,舊約,民 30,NUM,30,1,
3月15日,路加福音 9:1-21,新約,路 9:1-21,LUK,9,1,21
3月15日,詩篇 31:1-12,詩篇,詩 31:1-12,PSA,31,1,12
3月15日,箴言 8:10-12,箴言,箴 8:10-12,PRO,8,10,12
3月16日,民數記 31,舊約,民 31,NUM,31,1,
3月16日,民數記 32,舊約,民 32,NUM,32,1,
3月16日,路加福音 9:22-30,新約,路 9:22-30,LUK,9,22,30
3月16日,詩篇 31:13-24,詩篇,詩 31:13-24,PSA,31,13,24
3月16日,箴言 8:13-15,箴言,箴 8:13-15,PRO,8,13,15
3月17日,民數記 33,舊約,民 33,NUM,33,1,
3月17日,民數記 34,舊約,民 34,NUM,34,1,
3月17日,路加福音 10:13-30,新約,路 10:13-30,LUK,10,13,30
3月17日,詩篇 31:25-30,詩篇,詩 31:25-30,PSA,31,25,30
3月17日,箴言 8:16-18,箴言,箴 8:16-18,PRO,8,16,18
3月18日,民數記 35,舊約,民 35,NUM,35,1,
3月18日,民數記 36,舊約,民 36,NUM,36,1,
3月18日,路加福音 11:5-25,新約,路 11:5-25,LUK,11,5,25
3月18日,詩篇 32:7-19,詩篇,詩 32:7-19,PSA,32,7,19
3月18日,箴言 8:19-21,箴言,箴 8:19-21,PRO,8,19,21
3月19日,申命記 1,舊約,申 1,DEU,1,1,
3月19日,申命記 2,舊約,申 2,DEU,2,1,
3月19日,路加福音 11:26-30,新約,路 11:26-30,LUK,11,26,30
3月19日,詩篇 32:20-30,詩篇,詩 32:20-30,PSA,32,20,30
3月19日,箴言 8:22-24,箴言,箴 8:22-24,PRO,8,22,24
3月20日,申命記 3,舊約,申 3,DEU,3,1,
3月20日,申命記 4,舊約,申 4,DEU,4,1,
3月20日,路加福音 12:17-30,新約,路 12:17-30,LUK,12,17,30
3月20日,詩篇 33:2-13,詩篇,詩 33:2-13,PSA,33,2,13
3月20日,箴言 8:25-27,箴言,箴 8:25-27,PRO,8,25,27
3月21日,申命記 5,舊約,申 5,DEU,5,1,
3月21日,申命記 6,舊約,申 6,DEU,6,1,
3月21日,路加福音 13:9-29,新約,路 13:9-29,LUK,13,9,29
3月21日,詩篇 33:14-26,詩篇,詩 33:14-26,PSA,33,14,26
3月21日,箴言 8:28-30,箴言,箴 8:28-30,PRO,8,28,30
3月22日,申命記 7,舊約,申 7,DEU,7,1,
3月22日,申命記 8,舊約,申 8,DEU,8,1,
3月22日,路加福音 13:30-30,新約,路 13:30-30,LUK,13,30,30
3月22日,詩篇 33:27-30,詩篇,詩 33:27-30,PSA,33,27,30
